customer_id,mm_topup_count_30d,mm_topup_amount_sum_30d,mm_cash_in_count_30d,mm_cash_out_count_30d,mm_p2p_received_sum_90d,mm_p2p_sent_sum_90d,mm_billpay_count_90d,mm_ussd_sessions_30d
1,0.0,0.0,0.0,1.0,1775.08,1782.52,2.0,0.0
2,2.0,1140.22,0.0,1.0,0.0,1961.4299999999998,0.0,1.0
3,0.0,0.0,0.0,0.0,0.0,2694.7,2.0,0.0
4,4.0,9441.39,0.0,1.0,11660.76,710.99,1.0,0.0
5,1.0,543.19,0.0,0.0,1382.94,1870.87,0.0,1.0
6,0.0,0.0,0.0,0.0,505.21,0.0,0.0,1.0
7,2.0,4702.33,0.0,0.0,5824.450000000001,441.62,3.0,2.0
8,0.0,0.0,0.0,0.0,1290.69,2544.54,1.0,0.0
9,1.0,1937.13,0.0,0.0,1180.38,343.92,1.0,1.0
10,1.0,678.68,0.0,1.0,517.66,83.49,1.0,0.0
11,1.0,187.4,1.0,1.0,5742.17,633.22,2.0,1.0
12,0.0,0.0,0.0,0.0,2609.18,1136.36,1.0,0.0
13,4.0,5442.74,0.0,1.0,3918.8,2990.93,0.0,0.0
14,0.0,0.0,0.0,0.0,6549.349999999999,1513.34,1.0,0.0
15,1.0,1926.05,0.0,0.0,2676.63,0.0,2.0,0.0
16,2.0,5309.1900000000005,0.0,0.0,4205.65,0.0,3.0,0.0
17,1.0,2294.55,0.0,0.0,0.0,0.0,0.0,1.0
18,1.0,474.09,0.0,0.0,3184.42,3905.67,0.0,0.0
19,2.0,3343.53,2.0,2.0,3237.6,0.0,0.0,0.0
20,3.0,2231.8,0.0,1.0,4514.44,13658.68,3.0,0.0
