threshold,false_approvals,false_rejections,total_cost,cost_per_applicant
0.01,0,4673,4673.0,0.7788333333333334
0.02,0,4673,4673.0,0.7788333333333334
0.03,0,4673,4673.0,0.7788333333333334
0.04,0,4672,4672.0,0.7786666666666666
0.05,0,4666,4666.0,0.7776666666666666
0.060000000000000005,1,4653,4658.0,0.7763333333333333
0.06999999999999999,3,4624,4639.0,0.7731666666666667
0.08,3,4581,4596.0,0.766
0.09,3,4537,4552.0,0.7586666666666667
0.09999999999999999,3,4486,4501.0,0.7501666666666666
0.11,8,4425,4465.0,0.7441666666666666
0.12,11,4353,4408.0,0.7346666666666667
0.13,15,4284,4359.0,0.7265
0.14,19,4190,4285.0,0.7141666666666666
0.15000000000000002,32,4090,4250.0,0.7083333333333334
0.16,40,3993,4193.0,0.6988333333333333
0.17,46,3888,4118.0,0.6863333333333334
0.18000000000000002,48,3799,4039.0,0.6731666666666667
0.19,55,3703,3978.0,0.663
0.2,64,3612,3932.0,0.6553333333333333
0.21000000000000002,71,3528,3883.0,0.6471666666666667
0.22,81,3432,3837.0,0.6395
0.23,89,3323,3768.0,0.628
0.24000000000000002,99,3217,3712.0,0.6186666666666667
0.25,110,3123,3673.0,0.6121666666666666
0.26,122,3030,3640.0,0.6066666666666667
0.27,130,2946,3596.0,0.5993333333333334
0.28,140,2848,3548.0,0.5913333333333334
0.29000000000000004,151,2743,3498.0,0.583
0.3,162,2634,3444.0,0.574
0.31,177,2526,3411.0,0.5685
0.32,193,2427,3392.0,0.5653333333333334
0.33,212,2332,3392.0,0.5653333333333334
0.34,227,2231,3366.0,0.561
0.35000000000000003,240,2142,3342.0,0.557
0.36000000000000004,253,2047,3312.0,0.552
0.37,267,1952,3287.0,0.5478333333333333
0.38,292,1862,3322.0,0.5536666666666666
0.39,310,1762,3312.0,0.552
0.4,328,1674,3314.0,0.5523333333333333
0.41000000000000003,343,1597,3312.0,0.552
0.42000000000000004,362,1503,3313.0,0.5521666666666667
0.43,378,1416,3306.0,0.551
0.44,402,1349,3359.0,0.5598333333333333
0.45,421,1275,3380.0,0.5633333333333334
0.46,434,1208,3378.0,0.563
0.47000000000000003,443,1155,3370.0,0.5616666666666666
0.48000000000000004,459,1092,3387.0,0.5645
0.49,468,1043,3383.0,0.5638333333333333
0.5,478,995,3385.0,0.5641666666666667
0.51,490,949,3399.0,0.5665
0.52,497,904,3389.0,0.5648333333333333
0.53,509,850,3395.0,0.5658333333333333
0.54,520,820,3420.0,0.57
0.55,535,794,3469.0,0.5781666666666667
0.56,543,748,3463.0,0.5771666666666667
0.5700000000000001,560,714,3514.0,0.5856666666666667
0.5800000000000001,574,685,3555.0,0.5925
0.59,585,661,3586.0,0.5976666666666667
0.6,602,636,3646.0,0.6076666666666667
0.61,617,606,3691.0,0.6151666666666666
0.62,627,576,3711.0,0.6185
0.63,642,545,3755.0,0.6258333333333334
0.64,655,512,3787.0,0.6311666666666667
0.65,675,474,3849.0,0.6415
0.66,694,452,3922.0,0.6536666666666666
0.67,706,423,3953.0,0.6588333333333334
0.68,723,400,4015.0,0.6691666666666667
0.6900000000000001,739,372,4067.0,0.6778333333333333
0.7000000000000001,750,351,4101.0,0.6835
0.7100000000000001,760,333,4133.0,0.6888333333333333
0.72,772,322,4182.0,0.697
0.73,788,304,4244.0,0.7073333333333334
0.74,803,285,4300.0,0.7166666666666667
0.75,817,269,4354.0,0.7256666666666667
0.76,830,254,4404.0,0.734
0.77,841,231,4436.0,0.7393333333333333
0.78,854,221,4491.0,0.7485
0.79,874,214,4584.0,0.764
0.8,884,208,4628.0,0.7713333333333333
0.81,897,198,4683.0,0.7805
0.8200000000000001,907,184,4719.0,0.7865
0.8300000000000001,922,171,4781.0,0.7968333333333333
0.8400000000000001,937,163,4848.0,0.808
0.85,952,154,4914.0,0.819
0.86,971,141,4996.0,0.8326666666666667
0.87,991,128,5083.0,0.8471666666666666
0.88,1031,108,5263.0,0.8771666666666667
0.89,1062,78,5388.0,0.898
0.9,1119,56,5651.0,0.9418333333333333
0.91,1183,39,5954.0,0.9923333333333333
0.92,1237,13,6198.0,1.033
0.93,1287,4,6439.0,1.0731666666666666
0.9400000000000001,1311,0,6555.0,1.0925
0.9500000000000001,1320,0,6600.0,1.1
0.9600000000000001,1327,0,6635.0,1.1058333333333332
0.97,1327,0,6635.0,1.1058333333333332
0.98,1327,0,6635.0,1.1058333333333332
0.99,1327,0,6635.0,1.1058333333333332
