year,account_female,account_male,account_ownership,gdp_per_capita,gdp_usd,inflation,internet_users,mobile_subscriptions,population_total,urban_population_pct,nip_volume_m,nip_value_bn_ngn,pos_volume_m,pos_value_bn_ngn,mobile_vol_m,mobile_val_bn_ngn,inet_vol_m,inet_val_bn_ngn,mobile_money_wallets_m,banked_pct,excluded_pct,mobile_money_pct,fx_usd_ngn,nip_value_usd_m,total_digital_vol_m,nip_volume_m_yoy_pct,nip_value_bn_ngn_yoy_pct,total_digital_vol_m_yoy_pct,pos_volume_m_yoy_pct,mobile_vol_m_yoy_pct,inclusion_gap_pct
2011,25.9904013803634,33.2768925034846,29.6675376842052,2418.41316975875,414466676831.16,10.8261371880017,13.80000019,55.5301267540609,171379598.0,52.490352424079,,,,,,,,,,,,,,,0.0,,,,,,
2012,,,,2633.19734671361,463971018239.281,12.2242413020584,16.10000038,64.0053263148187,176200625.0,53.302114902293,,,,,,,,,,28.6,39.5,2.1,,,0.0,,,,,,71.4
2013,,,,2872.79083379398,520117180313.906,8.49551838265669,19.10000038,70.282509513161,181049443.0,54.1130855192568,,,,,,,,,,28.6,39.5,2.1,,,0.0,,,,,,71.4
2014,34.0223963700315,54.3624813953471,44.4419846566021,3088.72131316169,574183763411.508,8.04741087967907,21.0,74.7512781478918,185896915.0,54.9232435340404,,,,,,,,,,36.3,39.5,3.9,,,0.0,,,,,,63.7
2015,,,,2585.73360671797,493026682800.63,9.00943498007706,22.51420021,79.1045279367312,190671878.0,55.7325682057138,209.0,31400.0,78.0,1420.0,57.0,4100.0,22.0,7800.0,3.1,36.3,39.5,3.9,199.0,157788.9,366.0,,,inf,,,63.7
2016,,,,2070.4127339595,404649125252.16,15.6968126387972,24.13750076,78.970142296733,195443700.0,56.541038793347,400.0,51300.0,139.0,2690.0,108.0,7200.0,36.0,11200.0,3.9,38.3,41.6,5.6,305.0,168196.7,683.0,91.39,63.38,86.61,78.21,89.47,61.7
2017,27.2766783028412,51.4073357721221,39.6668586884669,1876.34027111773,375745731053.427,16.5022662139641,25.87789917,72.3679681751497,200254579.0,57.3486345560101,651.0,80200.0,218.0,4710.0,195.0,12800.0,51.0,16100.0,4.5,38.3,41.6,5.6,360.0,222777.8,1115.0,62.75,56.34,63.25,56.83,80.56,61.7
2018,,,,2057.87944554011,421739251509.08,12.0951065173432,27.74370003,84.2840110939485,204938755.0,58.1553347527729,891.0,104900.0,356.0,7790.0,310.0,20100.0,70.0,23700.0,5.2,39.5,36.8,7.2,362.0,289779.0,1627.0,36.87,30.8,45.92,63.3,58.97,60.5
2019,,,,3189.81286498516,668219992691.462,11.3964223378116,29.74410057,88.1169010528984,209485641.0,58.9611186427056,1195.0,142600.0,516.0,11280.0,470.0,30500.0,92.0,31400.0,6.8,39.5,36.8,7.2,363.0,392837.5,2273.0,34.12,35.94,39.7,44.94,51.61,60.5
2020,,,,2797.18458068686,598586817819.073,13.2460234276597,31.88879967,95.4356648074949,213996181.0,59.7659654848781,1823.0,218800.0,773.0,15950.0,718.0,47200.0,134.0,48900.0,8.4,40.1,35.9,12.4,381.0,574278.2,3448.0,52.55,53.44,51.69,49.81,52.77,59.9
2021,34.9640811024201,55.4526241322263,45.3166327186278,2787.48779224428,609147716972.859,16.9528457221608,35.50979996,89.2915858426408,218529286.0,60.5698545383604,3093.0,358500.0,1000.0,20440.0,1145.0,79600.0,195.0,72100.0,11.5,40.1,35.9,12.4,413.0,868038.7,5433.0,69.67,63.85,57.57,29.37,59.47,59.9
2022,,,,2899.16047470324,646950257577.814,18.8471877843274,39.14720154,99.5852151989567,223150896.0,61.3727650622225,5286.0,516000.0,1294.0,25820.0,1800.0,120000.0,275.0,101000.0,14.2,40.1,35.9,12.4,447.0,1154362.4,8655.0,70.9,43.93,59.3,29.4,57.21,59.9
2023,,,,2138.76383719983,487387801880.597,24.659550203114,40.06399918,98.4772822731425,227882945.0,62.1746763155343,8073.0,813000.0,1599.0,33200.0,2540.0,185000.0,370.0,143000.0,20.0,45.0,26.0,18.0,900.0,903333.3,12582.0,52.72,57.56,45.37,23.57,41.11,55.0
